2.こどものころの衣服

話し手
（略号）　（氏名）　　（性）　（生年）
　Ａ　　　山室　二郎　　男　　明治31年生まれ〈司会役〉
　Ｂ　　　山室　富江　　女　　明治41年生まれ
　Ｃ　　　坂本　アイ　　女　　明治27年生まれ
　Ｄ　　　坂本　ヨシノ　女　　明治36年生まれ
〔Ｅ　　　佐藤　虎男　　男　　大正15年生まれ〈同席担当者〉〕


0417609|Ｂ|ホテ　マタ　ゾーリ　イレル　フクロモ　ソノ　ノコリデ　シテ　モロテ　マンダ［5］　アノー　モシモ　アノ　ナンドー　モッテカン　ナン　トキカ゜　アッタア　ゾリカ゜　ヤブレル　ユーデ　モッテ　イッテン　コーモ　アリヨッタケド　ワタシトコワ　ヨー　ツクッテ　ナカッタサカイデ　ホンデ　アノー　ヘラコヤッタケード［6］　ソノ　ヘラコー　アシタ　テンキガ　ミン　ナンサカイ　ヒックリカヤスト　ワレル　トキカ゜　アリヨリマシテ　ナー。ホンデ　ゾリモ　《笑》　トチューノ　オバハンニ　モロタ　コトガ　ワタシ　アリマスカ゜　エー。クボ　トーッテ。ホンマニ、ヨー　アンナ　コト　シテ　イッター　オモイマス。（Ｅ　アー。）　ワタシカ゜　ゴネンノ　トキニ　ハジメテ　コンニャクノ　クツカ゜　デキタンデス　デ。|そして　また　草履を　入れる　袋も　その　残りで　して　もらって　まだ　あのう　もしも　あの、なんか　持って行かねばならない　時が　あったら　草履が　破れる　言うから　持って　行く　子も　あったものだけど　わたしとこは　よう　作られ　なかったから　それで　あのう　へらこだったけれど　その　へらこ、あした　天気が　見ねば　ならないから、ひっくりかえすと　破れる　時が　あったりしまして　ねえ。それで　草履も　《笑》　途中の　おばさんに　もらった　ことが　わたし　ありますが　ねえ。久保を　通って。ほんとに　ようこそ　あんな　ことを　して　行ったと　思いますわ。（Ｅ　ああ。）　わたしが　五年の　時に　はじめて　こんにゃくの　靴が　できたんです　よ。
0417707|Ｅ|ナンデス　カ。コンニャクノ　クツ　ユーノ。|なんです　か。こんにゃくの　靴　というのは。
0417708|Ｂ|コンニャクノ　ヨーナー　ナーア。アメイロノ　シター。|こんにゃくの　ような　ねえ。飴色を　した〔靴〕。
0417709|Ａ|ナマゴム　チュー　ゴムノ　イマー　〈ゴムク゜ツー　ユーノワ〉|生ゴム　という　ゴムの、今　ゴム靴と　いうのは
0417710|Ｃ|〈イマノワ　カワミ〉タイニ　〈ミエルケード〉。|今のは　皮のように　見えるけれど。
0417711|Ａ|ミナ　キレーニ　サイセーシタ、ア、ゴムデスケン　ナー。（Ｅ　ハー、ソーソーソー。ハー、ソー〈デス　カ〉。）　〈ソノ　イチ〉バン　ハジメニ　ゴムク゜ツカ゜　デキタ　ジブンニワ　エー、ナマコ゜ムデ　ンデー　ケッキョクー　イロノ　アノ　クロインジャ　ナシニー　チョット　アメイロミタイナ　イロノー　クツオ　ハイタンデス。|みな　きれいに　再製した、あー、ゴムですけど　ねえ。（Ｅ　はあ、そうそうそう。はあ、そうです　か。）　その　いちばん　はじめに　ゴム靴が　できた　ころには、ええ、生ゴムで　で、結局　色の　あの　黒いのでは　なしに　ちょっと　飴色のような　色の　靴を　はいたんです。
0417803|Ｅ|ハーア。ソーデス　カー。|はあ。そうです　か。
0417804|Ａ|ソレガ　イチバン　ハジメデス　ワ。ゴムグツノ。ホイデ　ワタシドモノー　イク　ジブンニワ　ミナ　ゾーリデス　ワ。（Ｅ　ハー。）　ハキモンワ。|それが　いちばん　はじめなんです。ゴム靴の。それで　わたしどもの　〔小学校へ〕行く　ころには　みな　草履なんです。（Ｅ　はあ。）　はきものは。
0417807|Ｅ|アー、ソーデス　カ。ソノ　ゾーリ　チュノワ　ナンス　カ。ソノ　イエデ　コー　〈｛　　｝〉|ああ、そうです　か。その　草履　というのは　なんです　か。その　家で　こう　〔作ったものですか。〕
0417809|Ａ|〈エー。ツクッタ。エー〉。|ええ。作った〔もの〕。ええ。
0417810|Ｂ|〈ヘー。ワラ　ウッテ〉。|はい。藁を　打ってね。
0417811|Ｅ|ワラ　ウッテ。|藁を　打って〔ですか〕！
0417812|Ａ|エー。ミナ　ツクッタ　モンデス。|ええ。みな　作った　ものですよ。
0417813|Ｅ|アー　ソーデス　カ。|ああ、そうです　か。
0417901|Ｂ|ソレガ　ネー。ワタシトコノ　イエノ　シタナンワ　オジーサンカ゜　アッテ　マイニチ　コー　シコ゜トニ　ゾーリ　ツクッテデ　マイニチ　オロシテ　モロテンデスンヤ　ナ。ケナリテ　ケナリテ［7］　ワタシ　ソレワ　ケナリカッタ。イマデモ　オモイマス　デ。ンデ　コナイダ　キョネン　ハジメテ　ワタシラーノ　ツレカ゜　ヨリマシテ　ナー。アノ　ソノ　セーフクジ［8］ノ。ホッテ　ワタシガ　ユーモンヤデ、ホンマニ　トミエサン、ソノ　ゾーリノ　コトワー　ケナリカ゜ッチャッタ　ナー　ユーテワ　ユーテーヤッタカ゜。|それが　ねえ。わたしとこの　家の　下の〔家〕は　おじいさんが　あって　毎日　こう　仕事に　草履を　作られるから　毎日　〔新しいのを〕おろして　もらうんですのよね。羨しくて　羨しくて　わたし　それは　羨しかった。今でも　思います　よ。それで　せんだって、去年　はじめて　わたしたちの　同僚が　寄りまして　ねえ。あの　その　施福寺の。そして　わたしが　言うもんだから、「ほんとに　富江さん、その　草履の　ことは　羨しがられました　ねえ。」と　言っては　〔みなさんが〕言っておられたけど。
0417909|Ｅ|イヤ。〈｛ジツニ　イマノ｝〉…。|いやあ。じつに　今の…。
0417910|Ｃ|〈ユキー　フルト〉　フカク゜ツ　ユーテ　ナー。（Ｅ　ハー、ハイ。）　コレクライノ　セーノ　アノー　ワラデ　コシラエタ　モンオ　ナー。（Ｅ　ハー。）　アノ　ハキヨッタンデス　ワ。|雪が　降ると　深靴と　言って　ねえ。（Ｅ　はあ、はい。）　これくらいの　背丈の　あのう、藁で　作った　ものを　ねえ。（Ｅ　はあ。）　はいていたものです　わ。
0417913|Ｂ|ジョーズニ　シタ　アッタ　デー。〈アレ〉。|上手に　して　あった　よ。あれ。
0418001|Ｃ|〈ジョー〉ズニ　シタ　アリヨリマシター。|上手に　して　ありましたよね。
