Vowel Rate
Latitude
a: 0.06585867460552193
o: -0.22343994501611103
e: 0.7684373235579616
i: -0.6488890767846756
u: 0.6547393730937875
Longitude
a: 0.19911114459850532
o: -0.3121516579260326
e: 0.6684613990769279
i: -0.5521023326513067
u: 0.3822163326242078
Consonant Rate
Latitude
n: 0.40900652294658946
t: -0.5219677951897947
k: -0.578778529305792
s: -0.0016075896135465827
h: -0.6146333300206558
r: -0.1221246169677506
m: -0.3178921141926088
d: 0.8012470227069538
y: -0.7080275313599944
g: 0.45619356683814394
w: -0.638500234301195
b: 0.18600943348873256
c: -0.7430564594608663
j: -0.6031510126755139
z: 0.7002052481994911
q: 0.19062856163985656
f: 0.07450963221532113
p: 0.08713523722288975
Longitude
n: 0.4900724059780206
t: -0.5117757156937501
k: -0.43372343739853836
s: -0.061385965788443006
h: -0.4373134126039075
r: 0.0801402021724858
m: -0.4508811938694277
d: 0.747358121370617
y: -0.6082424334266039
g: 0.2792156551901127
w: -0.7369985595436684
b: -0.0276620018726135
c: -0.5079999812779032
j: -0.49701281300992517
z: 0.579565462862922
q: 0.27261612266676594
f: -0.1635920691350084
p: 0.44846579336912673
