２．うわさ話など

話し手
　Ａ　武田　ふさ　　女　明治32年　富山村生れ
　Ｂ　田辺　正一　　男　明治34年　富山村生れ
　Ｃ　堤　　ふじよ　女　明治39年　富山村生れ
〈Ｙ　山口　幸洋　　男　昭和11年　静岡県新居町生れ〉

0334006|Ｃ|イロイロノ　コト　キーテ　クレテーネ　シャシンオ　オクッテ　クレタッターネ　アルヨ　ソノ　シャシンカ゜|いろいろの　こと　聞いて　くれてね　写真を　送って　くれたっけ　あるよ　その　写真が
0334008|Ａ|ソーダッタ|そうだった
0334009|Ｃ|ワスレター|忘れたの！
0334010|Ａ|イツイネー|いつですか？
0334011|Ｃ|オフササカ゜　ワスレタ|おフサさんが　忘れた
0334012|Ａ|エー|え？
0334013|Ｃ|イマ　ナンネンモ　マエダニ　ヤクバイ　コイッチュッテネー　ソーイッテ　クレテヨ　ムカシノコトー　キーテクレテネー　ソーシテ　ナンダワイネ　ゴクローダッタッチュッテ　アノー　チャーント|今〔からは〕　何年も　前ですよ　役場に　来いって言ってね　そう言って　くれてね　昔のことを　聞いてくれてね　そうして　何ですよ　ご苦労だったって言って　あの　ちゃんと
0334103|Ａ|アノ　ヒロシサンカ゜　ソンチョー　ヤルジブンダエー|あの　弘さんが　村長を　やる頃だね
0334104|Ｃ|ソージャ　ナカッツラ　ハヤシサン　ナッタッチューワケデ　ヒロシサンダッツラカネー|そうじゃ　なかったろう　林〔宇市〕さんが　なったって言うわけで　〔それとも〕弘さんだったろうかね
0334106|Ｂ|アー　ヒロシサダッツラ|あゝ　弘さんだっただろう
0334107|Ｃ|【シャツ】　シャシンオ　【ツット】　ウツイテ　オクッテ　オクレタウェ　アルニ　シャシンカ゜|写真を　写して　送って　くれたよ　あるよ　写真が
0334109|Ａ|ソーダッツカネー|そうだったのか
0334110|Ｃ|ナツダンネ　エー　コンナフーシテ　ウツットルデ|夏だがね　えゝ　こんな『風』して　写っているから
0334111|Ａ|ホー　ヘー　ワスレタ|ほう　もう　忘れた
0334112|Ｃ|オフササ　ワスレター　ソレダケ　トシカ゜　ワカカナイ|おフサさん　忘れた！それだけ　年が　若くはない
0334113|Ａ|ムカシノ　コター　タント　ワスレタッテ　ソリャ　ワスレタ|昔の　ことは　多く　忘れたって　そりゃ　忘れた
0334201|Ｃ|サブチャンテノ|さぶちゃんて言うの…
