３．つらい農作業

話し手
Ａ　桜田　鉄彌　　　男　明治36年生れ
Ｂ　八木沢千代三郎　男　明治43年生れ
Ｃ　棟方　トミ　　　女　大正2年生れ
Ｄ　佐々木隆次　　　男　昭和10年生れ　（司会者）

0303804|Ａ|ソエガラ　コンダ　アノ　アダリダン＾バ　ナンダエナー。ソエゴソ　ジューサンガ　ショーカ゜ッコ　オワレバ　ハー　（Ｂ　ウン）　ホガサ　（Ｂ　ウン　カロゴ[17]　ウン）　タノマエデ　サヘ[18]　トネナー。（Ｂ　【カロゴ】　〈カロゴニ　エダリ[19]ナー〉）　〈ウン　ワン＾ツカダネ〉[20]　ハー　（Ｂ　ウー）　ウ　ショカ゜ッコ　オワレバ　ハー　（Ｂ　ウー）　サヘ　トネ　ドゴダラ　ドゴサ　エゲーテ。ウー。ヘバ　ハー　ホレ　アサマネ　ハヤグ　クレァガラ　オギテ[21]　ショカ゜コ　オワテガラ　ハー　ワン＾ツカダ　ヤヅヨー　（Ｂ　ウン）　サヘ　トネ　デハテ[22]　ウッテ　ブ[23]スカエデナー。|それから　今度　あの　あたりなら　なんだよなあ。それこそ　十三〔歳〕か　小学校〔を〕　終ると　はあ　（Ｂ　うん）　他へ　（Ｂ　うん　借子　うん）　頼まれて　さへ　取りになあ。（Ｂ　借子　借子に　行ったりなあ）　うん　わずかな年齢で　はあ　（Ｂ　うん）　うん　小学校　終ると　はあ　（Ｂ　うん）　さへ　取りに　どこなら　どこに　行けと。うん。すると　はあ　ほれ　朝に　早く　暗いうちから　起きて　小学校　終ってから　はあ　わずかな　奴よう　（Ｂ　うん）　さへ　取りに　出て　うんと　叱られてなあ。
0303813|Ｂ|ブスカエデナー。テ　ホガサ　タノマエデ[24]　コゴサ[25]　（Ａ　ウーン　《笑》）　ワラハン＾ド　ネデラヤヅ　ムリニ　オゴサエデ　ホラ　（Ａ　ウン）　トーガ　ナンボノ　ヅギナー。（Ａ　ウン）　ウン。ステ　アノー　ハー　ヤ　マ　ヤット　クッテ　アッタケン＾ドモヨー　（Ａ　ウン）　ウン　オドナノ　キモノ　キヘヤダエナー[26]。（Ａ　ウー　《笑》）　スパサミドリス[27]テ　ロー　（Ｃ　ンダ）　ビント[28]　コー　ミン＾ツカグ　ヤッテナー。（Ｂ　Ｃ　ウン）　ソエ　コンダ　｛　　｝　サカ゜テ　マルベ。（Ａ　《笑》）　ヨコ゜エドゴデ　ホラ。ソエサ　コー　コゴ[29]ノ　ヅッチャ　アノ　コンダ　アノ　アラ[30]　カマ　モテ　キテ　（Ａ　《笑》）　ジョロット　オドステ　（Ａ　Ｂ　《笑》）　オドステ　ケデヨー。（Ａ　ウン）|叱られてなあ。そして　他に　頼まれて　ここに　（Ａ　うーん　《笑》）　子ども達〔は〕　寝ているの〔を〕　無理に　起こされて　ほら　（Ａ　うん）　十歳か　なんぼの　時なあ。（Ａ　うん）　うん。そして　あのう　はあ　いや　まあ　やっと　食って　いたけれどもよう　（Ａ　うん）　うん　大人の　着物　着せるのだよなあ。（Ａ　うん　《笑》）　裾を端折りして　ほらあ　（Ｃ　そうだ）　びんと　こう　短かく　やってなあ。（Ｂ　Ｃ　うん）　それ〔が〕　こんど　下がって　しまうだろう。（Ａ　《笑》）　汚れるので　ほら。それに　こう　ここの　爺さん　あの　今度　あの　あらあ　鎌〔を〕　持って　来て　（Ａ　《笑》）　じょろりと　落して　（Ａ　Ｂ　《笑》）　落して　くれてよう。（Ａ　うん）
0303910|Ｂ|ステ　アン　ヅギ　エヅニヅ　ニヅッセンデ　アッテ　ロー。ウン　【メス】　ニキ゜リメス　カヘデ　ニヅッセン　（Ａ　アー　ニヅッセン）　ニヅッセン　ケダ　ウン。|そして　あの　時　一日　二十錢で　あった　ほらあ。うん　飯　握り飯〔を〕　食わせて　二十錢　（Ａ　ああ　二十錢）　二十錢　くれた　うん。
0304001|Ａ|ホンダ　ホダ。（Ｂ　ウン）　ムガスダオナー。（Ｂ　ウーン）　ムガ〈スダアダラ　｛ホダ｝〉。（Ｂ　〈ウーン〉）|そうだ　そうだ。（Ｂ　うん）　昔だものなあ。（Ｂ　うーん）　昔であるなら　そうだ。（Ｂ　うーん）
0304003|Ｃ|サヘトリ[31]ダバ　ハー　エヅバン　スギデ　ネスタ。オツケロ　フパレ　オツケロ　フパレテヤ　（Ａ　ウン）　コンダ　スカエルドゴデヤ　コンド　ホノ　トーリ　エゲバ　エタテヤ　クルッテ[32]　マルドゴデ　グルッグルッグルテ　コンダ　マ[33]　マワサヘデ　マルキャー。（Ｂ　ウン＾ダエナー）　エッカエニ　フトヅドゴ　ナンカエモ　コンドア。《笑》|さへ取りなら　はあ　一番　好きで　なかった。押っつけろ　引っぱれ　押っつけろ　引っぱれと　（Ａ　うん）　今度　叱られるので　今度　その　とおり　行くと　良いけれど　狂って　しまうので　ぐるっぐるっぐると　今度　馬〔を〕　回させて　しまうということだよね。（Ｂ　そうだよなあ）　一回に　同じ所〔を〕　何回も　今度。《笑》
0304009|Ａ|コンダ　マンカ゜[34]　オス　フト　ナー　【ソ】　ソステ　コンダ　マン＾カ゜レバ　コンダ　サヘトリバ　サンジャグモ　ナゲー　ブヅ[35]　（Ｂ　Ｃ　《笑》）　モッテデ　ヘナガ　フタグアダエナー。ナー　フェタデァステ　ドンデ　コノ　ジャマーテ。ウーン　（Ｃ　《笑》）　ヘバ　コンダ　ダンダンネ　ワン＾ツカダ　モンダベ、ジューサンガ　ジュースノ　モンダベ　ヘンカ[36]サエルドゴデ　コンダ　ハー　アダマ[37]　クルテ　マッテ　ハー。（Ｃ　《笑》）　ステル　ウヅニ　ハー　マー　コンダ　ホラ　グルグルド　ター　ワッテ　マルアダエナー。（Ｃ　《笑》）　《笑》　ンタ　ヅギモ｛ドタ｝[38]　モンダエナー。|今度　馬鍬　押す　人〔は〕　なあ　そして　今度　曲ると　今度　さへ取りを　三尺も　長い　苔〔を〕　（Ｂ　Ｃ　《笑》）　持っていて　背中　たたくのだよなあ。お前〔は〕　下手で　どうだ　この　ざまといって。うーん　（Ｃ　《笑》）　すると　今度　だんだんに　わずかな　もんだろう　十三歳か　十四歳の　者だろう　たたかれるので　今度　はあ　頭　狂って　しまって　はあ。（Ｃ　《笑》）　そしている　うちに　はあ　馬〔は〕　今度　ほら　ぐるぐると　田〔を〕　回って　しまうのだよなあ。（Ｃ　《笑》）　《笑》　そういう　時もあった　ものだよなあ。
0304105|Ｄ|エヘデ　マル　ワゲダ。（Ａ　アー）|すねて　しまう　わけだ。（Ａ　ああ）
0304106|Ｂ|エヘデ　マル。ヅンブ　スカス　〈アノ　アダリ　クロー　スタジャー〉。|すねて　しまう。ずいぶん　しかし　あの　あたり　苦労　したよ。
0304108|Ａ|〈【エ】　エネ　カルタテ　ナー〉　ムタド　ハー　カマデバリ　ホレ　ウー　ミンナ　ハー　カマデバリー　ソエゴソ　ニン＾ジュ[39]モ　サンジュ[40]モ　ツクテモー[41]　（Ｂ　アーアー）　【カマ】　カマデバリ　カッテナー。|稲　刈るといっても　なあ　いつも　はあ　鎌でばかり　ほれ　うん　みんな　はあ　鎌でばかり　それこそ　二十も　三十も　作っても　（Ｂ　ああああ）　鎌でばかり　刈ってなあ。
0304111|Ｂ|カマデバリ　トッテー[42]。|鎌でばかり　取って。
0304112|Ａ|ソエゴソ　ノー　【エ】　エネ　カル　ヅギダバ　ハー　ムッタド[43]　ナンニヅモ　（Ｂ　ウン）　エッカケ゜ツモ　カガタベーナー。|それこそ　のう　稲　刈る　時なら　はあ　いつも　何日も　（Ｂ　うん）　一か月も　かかっただろうなあ。
0304201|Ｂ|ウンダナー　エッカケ゜ツモー　《笑》　オラ　サエキンマデ　エッカケ゜ツモ　カガタドモタ[44]アテ。|そうだなあ　一か月も　《笑》　俺　最近まで　一か月も　かかったと思ったけれど。
　
